07:18:48.236 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.40ms nav=29.39ms aim=0.00ms block=
07:18:48.586 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.38ms nav=29.37ms aim=0.00ms block=
07:18:48.939 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.37ms nav=29.36ms aim=0.00ms block=
07:18:49.323 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=31.71ms nav=29.55ms aim=2.15ms block=
07:18:49.703 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.41ms nav=29.40ms aim=0.00ms block=
07:18:50.107 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.49ms nav=29.48ms aim=0.00ms block=
07:18:50.460 entity=red_robot_1 role=hero team=red branch=recover total=30.57ms nav=28.51ms aim=2.06ms block=
07:18:50.814 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.35ms nav=29.34ms aim=0.00ms block=
07:18:51.166 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.30ms nav=29.29ms aim=0.00ms block=
07:18:51.541 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.72ms nav=29.71ms aim=0.00ms block=
07:18:51.898 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.45ms nav=29.44ms aim=0.00ms block=
07:18:52.279 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=31.52ms nav=29.34ms aim=2.17ms block=
07:18:52.631 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.29ms nav=29.28ms aim=0.00ms block=
07:18:52.985 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.21ms nav=29.20ms aim=0.00ms block=
07:18:53.361 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.37ms nav=29.36ms aim=0.00ms block=
07:18:53.718 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=31.22ms nav=31.22ms aim=0.00ms block=
07:18:54.094 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.26ms nav=29.25ms aim=0.00ms block=
07:18:54.449 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.26ms nav=29.25ms aim=0.00ms block=
07:18:54.825 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.38ms nav=29.37ms aim=0.00ms block=
07:18:55.177 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.28ms nav=29.27ms aim=0.00ms block=
07:18:55.581 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.70ms nav=29.70ms aim=0.00ms block=
07:18:55.933 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.36ms nav=29.36ms aim=0.00ms block=
07:18:56.313 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.29ms nav=29.28ms aim=0.00ms block=
