06:34:31.878 total=0.36ms respawn=0.05ms interaction=0.14ms combat=0.17ms entities=15 projectiles=1
06:34:33.883 total=0.19ms respawn=0.05ms interaction=0.14ms combat=0.01ms entities=15 projectiles=0
06:34:35.896 total=0.19ms respawn=0.05ms interaction=0.14ms combat=0.01ms entities=15 projectiles=0
06:34:37.898 total=0.19ms respawn=0.04ms interaction=0.14ms combat=0.01ms entities=15 projectiles=0
06:34:39.915 total=0.20ms respawn=0.05ms interaction=0.14ms combat=0.01ms entities=15 projectiles=0
06:34:41.924 total=0.20ms respawn=0.06ms interaction=0.14ms combat=0.01ms entities=15 projectiles=0
06:34:43.934 total=0.20ms respawn=0.05ms interaction=0.14ms combat=0.01ms entities=15 projectiles=0
06:34:45.936 total=0.20ms respawn=0.05ms interaction=0.14ms combat=0.01ms entities=15 projectiles=0
06:46:36.831 total=7.84ms respawn=1.19ms interaction=4.52ms combat=2.03ms entities=15 projectiles=0
06:46:38.837 total=0.23ms respawn=0.04ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:46:40.888 total=0.31ms respawn=0.06ms interaction=0.23ms combat=0.02ms entities=15 projectiles=0
06:46:42.922 total=0.23ms respawn=0.05ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:46:44.942 total=0.22ms respawn=0.05ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:46:46.968 total=0.38ms respawn=0.04ms interaction=0.17ms combat=0.17ms entities=15 projectiles=1
06:46:49.025 total=0.22ms respawn=0.05ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:46:51.034 total=0.20ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:46:53.052 total=0.35ms respawn=0.04ms interaction=0.15ms combat=0.16ms entities=15 projectiles=1
06:46:55.055 total=0.21ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:46:57.064 total=0.20ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:46:59.067 total=0.20ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:47:01.075 total=0.22ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:47:03.090 total=0.95ms respawn=0.04ms interaction=0.16ms combat=0.75ms entities=15 projectiles=7
06:47:05.105 total=0.53ms respawn=0.04ms interaction=0.15ms combat=0.34ms entities=15 projectiles=0
06:47:07.123 total=0.75ms respawn=0.04ms interaction=0.15ms combat=0.56ms entities=15 projectiles=0
06:47:09.131 total=0.57ms respawn=0.04ms interaction=0.16ms combat=0.38ms entities=15 projectiles=1
06:47:11.145 total=0.43ms respawn=0.04ms interaction=0.15ms combat=0.24ms entities=15 projectiles=0
06:47:13.149 total=0.20ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:47:15.169 total=29.46ms respawn=0.04ms interaction=0.15ms combat=29.27ms entities=15 projectiles=1
06:47:17.178 total=29.28ms respawn=0.04ms interaction=0.15ms combat=29.09ms entities=15 projectiles=0
06:47:19.183 total=29.26ms respawn=0.04ms interaction=0.15ms combat=29.06ms entities=15 projectiles=0
06:47:21.185 total=29.28ms respawn=0.03ms interaction=0.15ms combat=29.09ms entities=15 projectiles=0
06:47:23.200 total=29.40ms respawn=0.03ms interaction=0.15ms combat=29.22ms entities=15 projectiles=2
06:47:25.218 total=29.59ms respawn=0.04ms interaction=0.18ms combat=29.37ms entities=15 projectiles=1
06:47:27.220 total=0.34ms respawn=0.04ms interaction=0.15ms combat=0.15ms entities=15 projectiles=1
06:47:29.221 total=0.42ms respawn=0.03ms interaction=0.15ms combat=0.24ms entities=15 projectiles=0
06:47:31.239 total=0.56ms respawn=0.03ms interaction=0.15ms combat=0.37ms entities=15 projectiles=1
06:47:33.243 total=0.63ms respawn=0.04ms interaction=0.15ms combat=0.44ms entities=15 projectiles=0
06:47:35.248 total=0.57ms respawn=0.03ms interaction=0.15ms combat=0.38ms entities=15 projectiles=0
06:47:37.252 total=0.33ms respawn=0.03ms interaction=0.15ms combat=0.15ms entities=15 projectiles=1
06:47:39.258 total=0.19ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:47:41.261 total=0.19ms respawn=0.04ms interaction=0.14ms combat=0.01ms entities=15 projectiles=0
06:47:43.285 total=28.79ms respawn=0.03ms interaction=0.14ms combat=28.61ms entities=15 projectiles=1
06:47:45.305 total=28.40ms respawn=0.04ms interaction=0.15ms combat=28.22ms entities=15 projectiles=0
06:47:47.315 total=28.13ms respawn=0.03ms interaction=0.14ms combat=27.95ms entities=15 projectiles=0
06:47:49.339 total=28.50ms respawn=0.04ms interaction=0.17ms combat=28.29ms entities=15 projectiles=2
06:47:51.346 total=28.48ms respawn=0.03ms interaction=0.14ms combat=28.31ms entities=15 projectiles=0
06:47:53.391 total=28.38ms respawn=0.04ms interaction=0.15ms combat=28.19ms entities=15 projectiles=1
06:47:55.417 total=27.68ms respawn=0.03ms interaction=0.14ms combat=27.50ms entities=15 projectiles=0
06:47:57.441 total=28.10ms respawn=0.03ms interaction=0.14ms combat=27.92ms entities=15 projectiles=2
06:47:59.470 total=27.89ms respawn=0.04ms interaction=0.14ms combat=27.70ms entities=15 projectiles=3
06:48:01.494 total=27.82ms respawn=0.03ms interaction=0.14ms combat=27.65ms entities=15 projectiles=3
06:48:03.496 total=27.73ms respawn=0.03ms interaction=0.14ms combat=27.55ms entities=15 projectiles=1
06:48:05.507 total=27.86ms respawn=0.03ms interaction=0.14ms combat=27.69ms entities=15 projectiles=3
06:48:07.525 total=27.96ms respawn=0.03ms interaction=0.15ms combat=27.78ms entities=15 projectiles=4
06:48:09.539 total=27.96ms respawn=0.03ms interaction=0.14ms combat=27.78ms entities=15 projectiles=3
06:48:11.546 total=27.51ms respawn=0.04ms interaction=0.15ms combat=27.33ms entities=15 projectiles=0
06:48:13.614 total=27.23ms respawn=0.04ms interaction=0.15ms combat=27.04ms entities=15 projectiles=0
06:48:15.654 total=27.93ms respawn=0.03ms interaction=0.14ms combat=27.75ms entities=15 projectiles=7
06:48:17.690 total=27.55ms respawn=0.04ms interaction=0.15ms combat=27.36ms entities=15 projectiles=8
06:48:19.701 total=27.93ms respawn=0.04ms interaction=0.15ms combat=27.75ms entities=15 projectiles=3
06:48:21.727 total=28.31ms respawn=0.04ms interaction=0.15ms combat=28.12ms entities=15 projectiles=1
06:48:23.728 total=28.81ms respawn=0.04ms interaction=0.15ms combat=28.63ms entities=15 projectiles=0
06:48:25.738 total=27.07ms respawn=0.04ms interaction=0.14ms combat=26.90ms entities=15 projectiles=0
06:48:27.744 total=26.73ms respawn=0.05ms interaction=0.16ms combat=26.52ms entities=15 projectiles=0
06:48:29.745 total=26.87ms respawn=0.03ms interaction=0.14ms combat=26.71ms entities=15 projectiles=0
06:48:31.751 total=27.39ms respawn=0.03ms interaction=0.14ms combat=27.22ms entities=15 projectiles=0
06:48:33.753 total=27.37ms respawn=0.03ms interaction=0.14ms combat=27.19ms entities=15 projectiles=0
06:48:35.767 total=0.33ms respawn=0.04ms interaction=0.14ms combat=0.14ms entities=15 projectiles=1
06:48:37.775 total=1.08ms respawn=0.03ms interaction=0.14ms combat=0.90ms entities=15 projectiles=7
06:48:39.780 total=0.50ms respawn=0.03ms interaction=0.14ms combat=0.32ms entities=15 projectiles=0
06:48:41.792 total=0.80ms respawn=0.03ms interaction=0.15ms combat=0.62ms entities=15 projectiles=4
06:48:43.794 total=0.50ms respawn=0.03ms interaction=0.14ms combat=0.33ms entities=15 projectiles=0
06:48:45.818 total=0.44ms respawn=0.04ms interaction=0.14ms combat=0.26ms entities=15 projectiles=0
06:48:47.828 total=0.50ms respawn=0.03ms interaction=0.14ms combat=0.32ms entities=15 projectiles=0
06:54:45.434 total=7.96ms respawn=1.17ms interaction=4.61ms combat=2.08ms entities=15 projectiles=0
06:54:47.450 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:54:49.513 total=0.22ms respawn=0.05ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:54:51.526 total=0.22ms respawn=0.05ms interaction=0.16ms combat=0.02ms entities=15 projectiles=0
06:54:53.550 total=0.22ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:54:55.551 total=0.39ms respawn=0.05ms interaction=0.16ms combat=0.17ms entities=15 projectiles=1
06:54:57.553 total=0.23ms respawn=0.05ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:54:59.556 total=0.21ms respawn=0.05ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:55:01.566 total=0.36ms respawn=0.04ms interaction=0.15ms combat=0.16ms entities=15 projectiles=1
06:55:03.571 total=0.21ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:55:05.578 total=0.20ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:55:07.590 total=0.20ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:55:09.597 total=0.40ms respawn=0.07ms interaction=0.17ms combat=0.16ms entities=15 projectiles=1
06:55:11.611 total=0.52ms respawn=0.04ms interaction=0.15ms combat=0.32ms entities=15 projectiles=3
06:55:13.620 total=0.44ms respawn=0.04ms interaction=0.16ms combat=0.24ms entities=15 projectiles=2
06:55:15.646 total=0.45ms respawn=0.04ms interaction=0.15ms combat=0.25ms entities=15 projectiles=1
06:55:17.676 total=0.48ms respawn=0.04ms interaction=0.16ms combat=0.28ms entities=15 projectiles=2
06:55:19.692 total=0.20ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:55:21.693 total=0.22ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:55:23.702 total=0.20ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:55:25.702 total=0.20ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:55:27.716 total=0.43ms respawn=0.04ms interaction=0.15ms combat=0.24ms entities=15 projectiles=2
06:55:29.719 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:55:31.731 total=0.20ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:55:33.744 total=0.21ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:55:35.745 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:55:37.751 total=0.35ms respawn=0.04ms interaction=0.15ms combat=0.16ms entities=15 projectiles=1
06:55:39.751 total=0.19ms respawn=0.04ms interaction=0.14ms combat=0.01ms entities=15 projectiles=0
06:55:41.759 total=0.20ms respawn=0.04ms interaction=0.14ms combat=0.01ms entities=15 projectiles=0
06:55:43.763 total=28.37ms respawn=0.03ms interaction=0.14ms combat=28.19ms entities=15 projectiles=0
06:55:45.764 total=28.31ms respawn=0.03ms interaction=0.14ms combat=28.13ms entities=15 projectiles=0
06:55:47.785 total=28.17ms respawn=0.03ms interaction=0.13ms combat=28.00ms entities=15 projectiles=0
06:55:49.803 total=28.35ms respawn=0.03ms interaction=0.14ms combat=28.18ms entities=15 projectiles=0
06:55:51.811 total=27.83ms respawn=0.03ms interaction=0.14ms combat=27.66ms entities=15 projectiles=0
06:55:53.825 total=1.40ms respawn=0.03ms interaction=0.14ms combat=1.22ms entities=15 projectiles=12
06:55:55.843 total=0.39ms respawn=0.04ms interaction=0.15ms combat=0.20ms entities=15 projectiles=0
06:55:57.851 total=0.66ms respawn=0.04ms interaction=0.15ms combat=0.47ms entities=15 projectiles=5
06:55:59.861 total=0.34ms respawn=0.04ms interaction=0.14ms combat=0.15ms entities=15 projectiles=1
06:56:01.879 total=0.19ms respawn=0.04ms interaction=0.14ms combat=0.01ms entities=15 projectiles=0
