06:30:19.994 frame=10.66ms map=0.03ms/175458v/1draw facility=1.45ms/30012v/1draw unit=2.60ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.39ms swap=0.05ms entities=15 projectiles=0
06:30:22.132 frame=11.03ms map=0.05ms/175458v/1draw facility=1.56ms/30012v/1draw unit=2.58ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=6.55ms swap=0.04ms entities=15 projectiles=0
06:30:24.197 frame=10.60ms map=0.04ms/175458v/1draw facility=1.47ms/30012v/1draw unit=2.63ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.17ms swap=0.04ms entities=15 projectiles=0
06:30:26.229 frame=11.26ms map=0.05ms/175458v/1draw facility=1.41ms/28416v/1draw unit=3.42ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.13ms overlay=6.05ms swap=0.04ms entities=15 projectiles=0
06:30:28.270 frame=12.26ms map=0.04ms/175458v/1draw facility=2.22ms/27516v/1draw unit=2.82ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.10ms overlay=6.86ms swap=0.05ms entities=15 projectiles=1
06:30:30.343 frame=10.11ms map=0.06ms/175458v/1draw facility=1.27ms/27516v/1draw unit=2.59ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=5.93ms swap=0.04ms entities=15 projectiles=2
06:30:32.463 frame=10.59ms map=0.07ms/175458v/1draw facility=1.44ms/30012v/1draw unit=2.60ms/32616v/1draw projectile=0.02ms/168v/1draw flush=0.07ms overlay=6.18ms swap=0.04ms entities=15 projectiles=2
06:30:34.524 frame=11.17ms map=0.07ms/175458v/1draw facility=1.66ms/29112v/1draw unit=2.59ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.47ms swap=0.04ms entities=15 projectiles=0
06:30:36.647 frame=11.83ms map=0.07ms/175458v/1draw facility=1.43ms/28416v/1draw unit=3.45ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.62ms swap=0.05ms entities=15 projectiles=0
06:30:38.706 frame=10.49ms map=0.06ms/175458v/1draw facility=1.34ms/28416v/1draw unit=2.60ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.22ms swap=0.04ms entities=15 projectiles=0
06:30:40.734 frame=12.59ms map=0.08ms/175458v/1draw facility=1.76ms/30012v/1draw unit=2.78ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=7.55ms swap=0.05ms entities=15 projectiles=0
06:30:42.743 frame=11.05ms map=0.07ms/175458v/1draw facility=1.46ms/30012v/1draw unit=2.62ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=6.62ms swap=0.05ms entities=15 projectiles=0
06:30:44.798 frame=10.76ms map=0.05ms/175458v/1draw facility=1.46ms/30012v/1draw unit=2.67ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.31ms swap=0.04ms entities=15 projectiles=0
06:30:46.932 frame=11.65ms map=0.06ms/175458v/1draw facility=1.49ms/30012v/1draw unit=2.71ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=7.03ms swap=0.05ms entities=15 projectiles=0
06:31:42.814 frame=333.91ms map=31.56ms/175458v/1draw facility=23.60ms/30012v/1draw unit=27.21ms/32616v/1draw projectile=0.56ms/0v/0draw flush=1.82ms overlay=49.12ms swap=0.21ms entities=15 projectiles=0
06:31:44.823 frame=11.82ms map=0.05ms/175458v/1draw facility=1.47ms/30012v/1draw unit=3.50ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=6.56ms swap=0.04ms entities=15 projectiles=0
06:31:46.962 frame=11.06ms map=0.05ms/175458v/1draw facility=1.59ms/30012v/1draw unit=2.66ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=6.47ms swap=0.04ms entities=15 projectiles=0
06:31:49.029 frame=10.90ms map=0.05ms/175458v/1draw facility=1.54ms/30012v/1draw unit=2.66ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.37ms swap=0.04ms entities=15 projectiles=0
06:31:51.067 frame=10.63ms map=0.04ms/175458v/1draw facility=1.47ms/30012v/1draw unit=2.66ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.16ms swap=0.04ms entities=15 projectiles=0
06:31:53.097 frame=10.77ms map=0.04ms/175458v/1draw facility=1.39ms/29112v/1draw unit=2.61ms/32616v/1draw projectile=0.02ms/168v/1draw flush=0.09ms overlay=6.40ms swap=0.04ms entities=15 projectiles=1
06:31:55.103 frame=10.44ms map=0.04ms/175458v/1draw facility=1.27ms/27516v/1draw unit=2.58ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.29ms swap=0.04ms entities=15 projectiles=0
06:31:57.103 frame=10.38ms map=0.04ms/175458v/1draw facility=1.39ms/29112v/1draw unit=2.54ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.23ms swap=0.03ms entities=15 projectiles=0
06:31:59.109 frame=4.25ms map=0.05ms/175458v/1draw facility=1.39ms/29112v/1draw unit=2.56ms/32616v/1draw projectile=0.02ms/168v/1draw flush=0.08ms overlay=0.01ms swap=0.03ms entities=15 projectiles=1
06:32:01.113 frame=4.18ms map=0.04ms/175458v/1draw facility=1.32ms/28416v/1draw unit=2.53ms/32616v/1draw projectile=0.08ms/1080v/1draw flush=0.08ms overlay=0.00ms swap=0.02ms entities=15 projectiles=16
06:32:03.116 frame=13.85ms map=0.05ms/175458v/1draw facility=1.33ms/28416v/1draw unit=2.53ms/32616v/1draw projectile=0.02ms/216v/1draw flush=0.07ms overlay=9.69ms swap=0.05ms entities=15 projectiles=3
06:32:05.121 frame=4.70ms map=0.06ms/175458v/1draw facility=1.44ms/29112v/1draw unit=2.65ms/32616v/1draw projectile=0.08ms/972v/1draw flush=0.11ms overlay=0.01ms swap=0.20ms entities=15 projectiles=12
06:32:07.140 frame=13.65ms map=0.09ms/175458v/1draw facility=1.42ms/29112v/1draw unit=2.55ms/32616v/1draw projectile=0.03ms/432v/1draw flush=0.08ms overlay=9.22ms swap=0.04ms entities=15 projectiles=5
06:32:09.144 frame=4.52ms map=0.06ms/175458v/1draw facility=1.45ms/28416v/1draw unit=2.78ms/32580v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=0.00ms swap=0.03ms entities=15 projectiles=2
06:32:11.150 frame=4.43ms map=0.07ms/175458v/1draw facility=1.53ms/28416v/1draw unit=2.57ms/32580v/1draw projectile=0.01ms/108v/1draw flush=0.07ms overlay=0.00ms swap=0.03ms entities=15 projectiles=1
06:32:13.152 frame=17.61ms map=0.06ms/175458v/1draw facility=1.36ms/28416v/1draw unit=2.59ms/32580v/1draw projectile=0.07ms/864v/1draw flush=0.08ms overlay=13.26ms swap=0.05ms entities=15 projectiles=8
06:33:31.660 frame=388.42ms map=38.88ms/175458v/1draw facility=20.92ms/30012v/1draw unit=13.35ms/30936v/1draw projectile=0.83ms/0v/0draw flush=2.60ms overlay=42.12ms swap=0.42ms entities=15 projectiles=0
06:33:33.877 frame=12.58ms map=0.10ms/175458v/1draw facility=1.72ms/30012v/1draw unit=2.86ms/30936v/1draw projectile=0.00ms/0v/0draw flush=0.12ms overlay=7.47ms swap=0.06ms entities=15 projectiles=0
