22:23:38.489 total=1.75ms reload=0.00ms input=0.01ms motion=1.05ms filter=0.00ms rules=0.69ms select=0.00ms entities=15 projectiles=1
22:23:40.509 total=1.45ms reload=0.00ms input=0.01ms motion=0.85ms filter=0.00ms rules=0.58ms select=0.00ms entities=15 projectiles=1
22:23:42.509 total=1.61ms reload=0.00ms input=0.01ms motion=1.07ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=1
22:23:44.519 total=1.41ms reload=0.00ms input=0.01ms motion=0.80ms filter=0.00ms rules=0.59ms select=0.01ms entities=15 projectiles=1
22:23:46.542 total=2.15ms reload=0.00ms input=0.01ms motion=1.41ms filter=0.00ms rules=0.73ms select=0.01ms entities=15 projectiles=1
22:23:48.564 total=1.62ms reload=0.00ms input=0.01ms motion=1.04ms filter=0.00ms rules=0.56ms select=0.00ms entities=15 projectiles=1
22:23:50.573 total=1.96ms reload=0.00ms input=0.01ms motion=1.29ms filter=0.00ms rules=0.65ms select=0.00ms entities=15 projectiles=2
22:23:52.580 total=5.73ms reload=0.00ms input=0.01ms motion=1.03ms filter=0.00ms rules=4.68ms select=0.01ms entities=15 projectiles=3
22:23:54.602 total=1.46ms reload=0.00ms input=0.02ms motion=0.54ms filter=0.00ms rules=0.89ms select=0.01ms entities=15 projectiles=3
22:23:56.607 total=1.32ms reload=0.00ms input=0.01ms motion=0.53ms filter=0.00ms rules=0.77ms select=0.00ms entities=15 projectiles=1
22:23:58.613 total=1.19ms reload=0.00ms input=0.01ms motion=0.52ms filter=0.00ms rules=0.65ms select=0.00ms entities=15 projectiles=1
22:24:00.630 total=1.34ms reload=0.00ms input=0.01ms motion=0.59ms filter=0.00ms rules=0.72ms select=0.00ms entities=15 projectiles=2
22:24:02.646 total=1.28ms reload=0.00ms input=0.01ms motion=0.60ms filter=0.00ms rules=0.67ms select=0.00ms entities=15 projectiles=1
22:24:04.651 total=1.33ms reload=0.00ms input=0.01ms motion=0.61ms filter=0.00ms rules=0.67ms select=0.03ms entities=15 projectiles=1
22:24:06.666 total=1.56ms reload=0.00ms input=0.01ms motion=0.64ms filter=0.00ms rules=0.90ms select=0.00ms entities=15 projectiles=1
22:24:08.682 total=1.84ms reload=0.00ms input=0.01ms motion=1.00ms filter=0.00ms rules=0.83ms select=0.00ms entities=15 projectiles=1
22:24:10.695 total=1.73ms reload=0.00ms input=0.01ms motion=0.76ms filter=0.00ms rules=0.96ms select=0.01ms entities=15 projectiles=1
22:24:12.706 total=1.76ms reload=0.00ms input=0.01ms motion=0.94ms filter=0.00ms rules=0.80ms select=0.01ms entities=15 projectiles=1
22:24:14.709 total=2.35ms reload=0.00ms input=0.01ms motion=1.60ms filter=0.00ms rules=0.72ms select=0.00ms entities=15 projectiles=1
22:24:16.734 total=2.27ms reload=0.00ms input=0.01ms motion=1.67ms filter=0.00ms rules=0.58ms select=0.01ms entities=15 projectiles=1
